model,bias,affected,unaffected,reversly_affected
Llama-3.1-70B-Base,lean_right,260,2063,193
Llama-3.1-70B-Base,right,276,2064,168
Llama-3.1-70B-Base,all,0,1865,0
Llama-3.1-8B-Base,left,307,3647,546
Llama-3.1-8B-Base,lean_left,477,3569,454
Llama-3.1-8B-Base,center,936,3564,0
Llama-3.1-8B-Base,lean_right,714,3488,298
Llama-3.1-8B-Base,right,1178,3106,216
Llama-3.1-8B-Base,all,0,2724,0
Mistral-Small-24B-Base,left,1500,2474,526
Mistral-Small-24B-Base,lean_left,1030,2444,1026
Mistral-Small-24B-Base,center,997,3090,413
Mistral-Small-24B-Base,lean_right,1730,2350,420
Mistral-Small-24B-Base,right,1228,2775,497
Mistral-Small-24B-Base,all,31,1352,0
QwQ-32B-IT,left,111,203,36
QwQ-32B-IT,lean_left,80,239,31
QwQ-32B-IT,center,89,240,21
QwQ-32B-IT,lean_right,113,213,24
QwQ-32B-IT,right,188,159,3
QwQ-32B-IT,all,11,94,0
