Model,MediaBias,Field,Value,Overrep
Qwen2.5-0.5B-IT,right,Topic,russia,6.819984139571768
Llama-3.1-70B-Base,right,Topic,opioid_crisis,6.777777777777777
Qwen2.5-1.5B-Base,lean_right,Topic,transportation,6.658515283842795
Qwen2.5-14B-IT,lean_right,Topic,north_korea,6.62882096069869
Llama-3.1-70B-IT,right,Topic,impeachment,6.4901639344262305
Qwen2.5-72B-Base,right,Topic,taxes,6.433149886694723
Mistral-Small-24B-Base,right,Topic,nsa,6.405537459283388
Qwen2.5-32B-IT,right,Topic,isis,6.3414937759336105
Llama-3.3-70B-IT,lean_left,Topic,sexual_misconduct,6.332700650759219
Llama-3.1-70B-IT,right,Topic,us_congress,6.314754098360656
GPT-4.1-nano-IT,lean_left,Topic,china,6.260773480662984
Qwen2.5-7B-IT,lean_right,Topic,bridging_divides,6.116991643454039
Qwen1.5-72B-IT,right,Topic,disaster,6.077939835916134
Gemma-2-27B-IT,lean_left,Topic,ebola,6.0606060606060606
Llama-3.1-8B-Base,left,Topic,world,6.048859934853419
Llama-3.1-8B-Base,left,Topic,fiscal_cliff,6.048859934853419
Qwen2.5-0.5B-IT,left,Topic,nuclear_weapons,6.044917257683215
Qwen1.5-72B-IT,lean_left,Topic,civil_rights,6.017932489451477
Qwen2.5-0.5B-Base,right,Topic,ebola,6.013274336283186
Qwen2.5-0.5B-Base,right,Topic,state_department,6.013274336283186
Qwen1-72B-IT,left,Topic,disaster,5.927565392354125
GPT-4.1-IT,lean_left,Topic,energy,5.91016548463357
Gemma-2-27B-IT,lean_right,Topic,middle_east,5.88259385665529
Qwen2.5-32B-Base,lean_left,Topic,israel,5.85480093676815
Qwen2.5-14B-IT,lean_right,Topic,transportation,5.822416302765648
Qwen2.5-14B-IT,lean_right,Topic,homeland_security,5.822416302765648
Llama-3.3-70B-IT,lean_right,Topic,middle_east,5.818181818181819
Qwen2.5-3B-IT,lean_left,Topic,epa,5.760000000000001
Qwen2.5-3B-IT,lean_left,Topic,inequality,5.760000000000001
Qwen2.5-3B-IT,lean_left,Topic,women's_issues,5.760000000000001
Qwen2-72B-IT,left,Topic,facts_and_fact_checking,5.728308501314637
Qwen2.5-3B-IT,left,Topic,domestic_policy,5.714285714285714
Qwen2.5-3B-IT,left,Topic,opioid_crisis,5.714285714285714
Qwen2.5-3B-IT,left,Topic,social_security,5.714285714285714
Qwen2.5-1.5B-Base,right,Topic,fake_news,5.7
Llama-3.1-70B-IT,lean_right,Topic,trade,5.698509110988405
Qwen2.5-14B-Base,left,Topic,veterans_affairs,5.680572851805729
Qwen1.5-72B-IT,right,Topic,europe,5.672743846855059
Llama-3.1-8B-Base,lean_left,Topic,justice_department,5.647798742138366
Mistral-Small-24B-Base,lean_right,Topic,north_korea,5.621965317919075
Llama-3-70B-IT,right,Topic,sexual_misconduct,5.590496156533892
Qwen2.5-7B-IT,lean_right,Topic,media_industry,5.571030640668524
Qwen2.5-7B-Base,left,Topic,veterans_affairs,5.558441558441559
Qwen2.5-7B-Base,left,Topic,religion_and_faith,5.558441558441559
Qwen2.5-7B-Base,left,Topic,race_and_racism,5.558441558441559
Qwen2.5-1.5B-Base,right,Topic,nuclear_weapons,5.555555555555555
Llama-3.1-70B-IT,lean_right,Topic,russia,5.521811154058531
Qwen2.5-14B-Base,lean_right,Topic,inequality,5.4945054945054945
Qwen2.5-14B-Base,lean_right,Topic,media_industry,5.4945054945054945
Qwen2.5-7B-IT,right,Topic,russia,5.486284289276808
Qwen2.5-7B-IT,lean_left,Topic,bridging_divides,5.459200000000001
Qwen2.5-7B-IT,lean_left,Topic,mexico,5.459200000000001
Llama-3.1-8B-IT,lean_left,Topic,israel,5.4591549295774655
Llama-3.1-8B-IT,lean_left,Topic,sexual_misconduct,5.4591549295774655
Llama-3.1-8B-IT,lean_left,Topic,epa,5.4591549295774655
Qwen2.5-72B-IT,lean_right,Topic,national_security,5.447568049977688
Qwen2.5-3B-Base,lean_right,Topic,homeland_security,5.369127516778523
Qwen2.5-72B-Base,right,Topic,trade,5.36095823891227
Qwen2.5-72B-Base,lean_right,Topic,veterans_affairs,5.358338914936369
GPT-4.1-IT,right,Topic,fiscal_cliff,5.298651252408478
Qwen2.5-32B-IT,right,Topic,campaign_finance,5.2224066390041495
Qwen2.5-0.5B-IT,lean_left,Topic,nuclear_weapons,5.211356466876971
Qwen1.5-72B-IT,lean_left,Topic,banking_and_finance,5.158227848101266
Mistral-Small-24B-Base,lean_right,Topic,europe,5.153468208092486
Qwen2.5-1.5B-Base,left,Topic,homeland_security,5.128348214285714
GPT-4.1-IT,left,Topic,russia,5.107692307692307
GPT-4.1-mini-IT,right,Topic,fiscal_cliff,5.107266435986158
Qwen2.5-1.5B-IT,left,Topic,great_britain,5.051312649164678
Qwen2.5-14B-IT,right,Topic,trade,5.03125
GPT-4.1-IT,right,Topic,nsa,4.997109826589595
Llama-3.1-70B-Base,lean_right,Topic,inequality,4.971069182389937
Llama-3.1-70B-Base,lean_right,Topic,campaign_finance,4.971069182389937
Qwen2.5-3B-Base,right,Topic,homeland_security,4.930156121610517
Qwen2.5-14B-Base,lean_right,Topic,state_department,4.926739926739927
Llama-3-70B-IT,right,Topic,energy,4.8916841369671555
Qwen2.5-72B-IT,left,Topic,sexual_misconduct,4.889975550122249
Qwen2.5-32B-Base,left,Topic,campaign_finance,4.884801548886738
Qwen2.5-0.5B-IT,lean_right,Topic,nuclear_weapons,4.877164056059357
Llama-3.1-8B-IT,lean_right,Topic,opioid_crisis,4.862236628849271
Qwen2.5-14B-Base,lean_left,Topic,cia,4.860267314702308
GPT-4.1-IT,right,Topic,ebola,4.816955684007707
Qwen2.5-0.5B-Base,right,Topic,campaign_finance,4.810619469026548
GPT-4.1-mini-IT,left,Topic,veterans_affairs,4.805125467164976
GPT-4.1-mini-IT,lean_right,Topic,trade,4.792951541850221
Qwen2.5-1.5B-IT,left,Topic,homeland_security,4.773269689737471
Qwen2.5-1.5B-IT,left,Topic,cybersecurity,4.773269689737471
Qwen2.5-1.5B-Base,lean_left,Topic,homeland_security,4.744084362139918
Qwen1-72B-IT,left,Topic,homeland_security,4.7420523138833
Phi-4-IT,lean_right,Topic,north_korea,4.72108843537415
Llama-3.1-8B-Base,lean_left,Topic,defense,4.706498951781971
Qwen2-72B-IT,lean_right,Topic,technology,4.705882352941177
Qwen2-72B-IT,lean_right,Topic,terrorism,4.705882352941177
Llama-3.3-70B-IT,lean_left,Topic,veterans_affairs,4.690889370932754
Qwen2.5-72B-Base,lean_right,Topic,sexual_misconduct,4.688546550569324
Qwen2.5-32B-Base,lean_left,Topic,cia,4.68384074941452
Qwen2.5-72B-Base,left,Topic,sexual_misconduct,4.682825484764543
Llama-3-70B-IT,lean_right,Topic,china,4.587155963302752
Qwen2.5-72B-IT,lean_left,Topic,us_constitution,4.581901489117984
Qwen2.5-0.5B-Base,lean_left,Topic,women's_issues,4.5787545787545785
Qwen2.5-0.5B-IT,left,Topic,asia,4.533687943262412
Qwen2.5-0.5B-IT,left,Topic,campaign_rhetoric,4.533687943262412
Llama-3.1-70B-Base,right,Topic,inequality,4.518518518518518
Llama-3.1-70B-Base,right,Topic,campaign_finance,4.518518518518518
GPT-4.1-nano-IT,left,Topic,voting_rights_and_voter_fraud,4.4642857142857135
Qwen2.5-72B-IT,left,Topic,democratic_party,4.463325183374083
Qwen2.5-0.5B-Base,left,Topic,women's_issues,4.436557231588288
Qwen2-72B-IT,lean_right,Topic,middle_east,4.411764705882353
Gemma-2-27B-IT,lean_left,Topic,national_defense,4.407713498622589
Qwen2.5-7B-Base,lean_right,Topic,tea_party,4.398826979472141
Qwen2.5-72B-IT,right,Topic,middle_east,4.3930269413629155
Gemma-2-27B-IT,lean_left,Topic,facts_and_fact_checking,4.37465564738292
Llama-3.3-70B-IT,lean_right,Topic,foreign_policy,4.363636363636364
Gemma-2-27B-IT,left,Topic,disaster,4.3526011560693645
Phi-4-IT,left,Topic,national_security,4.351351351351352
Qwen1-72B-IT,left,Topic,bridging_divides,4.346881287726358
Qwen2.5-1.5B-Base,lean_left,Topic,nsa,4.337448559670782
Qwen2.5-1.5B-Base,lean_left,Topic,nuclear_weapons,4.337448559670782
Phi-4-IT,lean_left,Topic,defense,4.32995951417004
Llama-3.1-8B-IT,right,Topic,homeland_security,4.3140638481449525
Qwen2.5-3B-IT,lean_right,Topic,race_and_racism,4.304347826086956
Qwen1.5-72B-IT,lean_left,Topic,facts_and_fact_checking,4.298523206751055
Qwen2-72B-IT,left,Topic,asia,4.296231375985978
GPT-4.1-mini-IT,left,Topic,facts_and_fact_checking,4.271222637479978
Phi-4-IT,lean_right,Topic,defense,4.2489795918367355
Qwen2.5-32B-IT,lean_right,Topic,democratic_party,4.24064039408867
Llama-3.1-8B-Base,lean_left,Topic,race_and_racism,4.235849056603773
GPT-4.1-mini-IT,lean_right,Topic,veterans_affairs,4.193832599118943
Llama-3-70B-IT,right,Topic,china,4.1928721174004195
Qwen2.5-72B-Base,left,Topic,role_of_government,4.1551246537396125
Qwen2.5-72B-Base,left,Topic,palestine,4.1551246537396125
Gemma-2-27B-IT,left,Topic,supreme_court,4.148572976878613
Qwen2.5-32B-IT,right,Topic,russia,4.103319502074689
Qwen2.5-1.5B-Base,left,Topic,nsa,4.102678571428571
Qwen2.5-7B-IT,right,Topic,homeland_security,4.0997506234413965
Qwen2.5-1.5B-IT,lean_left,Topic,cybersecurity,4.0983606557377055
Qwen2.5-1.5B-IT,lean_left,Topic,homeland_security,4.0983606557377055
Qwen2.5-1.5B-IT,lean_left,Topic,transportation,4.0983606557377055
Qwen2.5-0.5B-IT,right,Topic,nuclear_weapons,4.091990483743061
GPT-4.1-IT,left,Topic,campaign_finance,4.086153846153846
Qwen1.5-72B-IT,lean_right,Topic,nuclear_weapons,4.085801838610827
Qwen2.5-72B-Base,lean_left,Topic,women's_issues,4.0769230769230775
Qwen2.5-72B-Base,lean_left,Topic,state_department,4.076923076923077
Qwen2.5-32B-Base,left,Topic,fake_news,4.070667957405615
Llama-3.1-8B-Base,right,Topic,china,4.067911714770798
Qwen2.5-0.5B-IT,lean_right,Topic,voting_rights_and_voter_fraud,4.064303380049464
Llama-3.1-8B-IT,left,Topic,democratic_party,4.049469964664311
Mistral-Small-24B-Base,lean_left,Topic,religion_and_faith,4.0475728155339805
Phi-4-IT,left,Topic,foreign_policy,4.04054054054054
Llama-3.1-70B-IT,right,Topic,nsa,4.034426229508197
Llama-3.1-8B-Base,left,Topic,national_defense,4.03257328990228
Qwen2.5-3B-Base,lean_right,Topic,nuclear_weapons,4.026845637583893
Qwen2-72B-IT,lean_left,Topic,facts_and_fact_checking,4.014043583535109
Qwen2.5-7B-IT,left,Topic,russia,4.0116525423728815
Qwen2.5-7B-IT,left,Topic,abortion,4.0116525423728815
Qwen2.5-7B-IT,left,Topic,civil_rights,4.0116525423728815
Llama-3.1-8B-Base,lean_right,Topic,bridging_divides,4.0056022408963585
Llama-3.1-8B-Base,lean_right,Topic,china,4.0056022408963585
Qwen1-72B-IT,lean_left,Topic,bridging_divides,4.003125
Qwen1-72B-IT,lean_left,Topic,labor,4.003125
Qwen2.5-3B-Base,lean_left,Topic,marijuana_legalization,3.9861778846153846
Llama-3-8B-IT,lean_right,Topic,taxes,3.9679633867276882
Llama-3-8B-IT,lean_right,Topic,general_news,3.9679633867276882
Qwen2.5-7B-Base,lean_left,Topic,europe,3.9653465346534653
Qwen2.5-7B-Base,lean_right,Topic,transportation,3.9534457478005867
GPT-4.1-IT,lean_right,Topic,treasury,3.931847968545216
GPT-4.1-IT,lean_right,Topic,veterans_affairs,3.931847968545216
Llama-3.1-8B-IT,lean_right,Topic,north_korea,3.9181523500810367
Qwen2.5-72B-IT,left,Topic,veterans_affairs,3.911980440097799
Qwen2.5-0.5B-IT,lean_left,Topic,campaign_rhetoric,3.908517350157729
Qwen2.5-32B-Base,lean_left,Topic,abortion,3.903512880562061
GPT-4.1-nano-IT,lean_right,Topic,fbi,3.898711570353361
Qwen2.5-32B-Base,left,Topic,palestine,3.872216844143272
Qwen2.5-32B-Base,right,Topic,justice_department,3.865155807365439
GPT-4.1-nano-IT,right,Topic,veterans_affairs,3.861003861003861
Qwen1-72B-IT,lean_right,Topic,national_security,3.8587088915956147
Qwen1-72B-IT,lean_right,Topic,technology,3.8587088915956147
Llama-3-70B-IT,lean_left,Topic,inequality,3.8498556304138596
Phi-4-IT,lean_left,Topic,north_korea,3.848852901484481
Phi-4-IT,lean_right,Topic,criminal_justice,3.7768707482993196
Qwen2.5-32B-Base,right,Topic,criminal_justice,3.757790368271955
GPT-4.1-IT,lean_right,Topic,homeland_security,3.7568807339449544
Qwen2.5-14B-Base,left,Topic,cia,3.7359900373599007
Qwen2.5-14B-Base,left,Topic,opioid_crisis,3.7359900373599007
Llama-3.3-70B-IT,left,Topic,lgbt_rights,3.7346590909090907
Mistral-Small-24B-Base,right,Topic,banking_and_finance,3.7084690553745934
GPT-4.1-IT,left,Topic,energy,3.692307692307692
Qwen2.5-14B-Base,lean_left,Topic,veterans_affairs,3.6682867557715677
Qwen2.5-0.5B-Base,lean_left,Topic,death_penalty,3.663003663003663
Qwen2.5-3B-Base,lean_right,Topic,trade,3.6621923937360177
Qwen2.5-14B-Base,lean_left,Topic,opioid_crisis,3.6452004860267313
Llama-3-70B-IT,left,Topic,inequality,3.6396724294813465
Qwen2.5-1.5B-IT,right,Topic,epa,3.6231884057971016
Llama-3.1-70B-Base,lean_left,Topic,economy_and_jobs,3.611111111111111
Phi-4-IT,lean_left,Topic,justice_department,3.6082995951417005
Qwen2.5-0.5B-Base,left,Topic,death_penalty,3.54924578527063
Qwen1-72B-IT,lean_right,Topic,violence_in_america,3.5371498172959805
Llama-3.1-8B-Base,lean_right,Topic,facts_and_fact_checking,3.5049019607843137
Qwen2.5-7B-IT,right,Topic,israel,3.491271820448878
Mistral-Small-24B-IT,lean_left,Topic,isis,3.4728614850195396
Qwen2.5-32B-IT,lean_left,Topic,epa,3.4662045060658575
Qwen2.5-32B-IT,lean_left,Topic,domestic_policy,3.4662045060658575
Qwen2.5-3B-IT,lean_right,Topic,coronavirus,3.443478260869565
Qwen2.5-72B-IT,lean_left,Topic,tea_party,3.4364261168384878
Qwen2.5-72B-IT,lean_left,Topic,palestine,3.4364261168384878
Qwen1-72B-IT,lean_left,Topic,holidays,3.43125
Qwen2.5-1.5B-IT,right,Topic,energy,3.4289855072463764
Qwen2.5-1.5B-IT,right,Topic,mexico,3.4289855072463764
GPT-4.1-nano-IT,left,Topic,lgbt_rights,3.426020408163265
Qwen2.5-1.5B-IT,lean_right,Topic,sexual_misconduct,3.4192090395480226
Qwen2.5-1.5B-IT,lean_right,Topic,homeland_security,3.419209039548022
Gemma-2-27B-IT,lean_right,Topic,general_news,3.4156996587030712
Qwen2.5-0.5B-IT,right,Topic,voting_rights_and_voter_fraud,3.409992069785884
Qwen1.5-72B-IT,left,Topic,federal_budget,3.4068923821039903
Llama-3-8B-IT,left,Topic,ebola,3.3997615397717595
Qwen2.5-1.5B-IT,lean_right,Topic,agriculture,3.389830508474576
Llama-3.1-8B-IT,left,Topic,civil_rights,3.374558303886926
Qwen2.5-0.5B-Base,lean_left,Topic,mexico,3.3708791208791213
Qwen2.5-3B-Base,left,Topic,cia,3.3557046979865772
Qwen2.5-3B-Base,left,Topic,us_constitution,3.3557046979865772
Qwen2.5-72B-Base,lean_right,Topic,media_industry,3.348961821835231
Qwen2-72B-IT,lean_left,Topic,europe,3.3450363196125905
Qwen2.5-72B-IT,right,Topic,violence_in_america,3.2947702060221866
Qwen2.5-3B-Base,right,Topic,nuclear_weapons,3.286770747740345
Gemma-2-27B-IT,left,Topic,facts_and_fact_checking,3.264450867052023
GPT-4.1-mini-IT,lean_right,Topic,defense,3.261869799314733
GPT-4.1-nano-IT,lean_left,Topic,energy,3.2608195211786373
Mistral-Small-24B-Base,right,Topic,arts_and_entertainment,3.257328990228013
Qwen2.5-14B-IT,lean_left,Topic,facts_and_fact_checking,3.2461059190031154
Llama-3.1-8B-IT,lean_right,Topic,role_of_government,3.2414910858995136
Gemma-2-27B-IT,lean_right,Topic,nsa,3.225938566552901
Qwen2-72B-IT,left,Topic,fake_news,3.222173531989483
Qwen2.5-32B-Base,right,Topic,fiscal_cliff,3.2209631728045327
Qwen1-72B-IT,right,Topic,politics,3.2028985507246377
Llama-3-8B-IT,lean_left,Topic,criminal_justice,3.1934112646121147
Llama-3.1-8B-IT,right,Topic,culture,3.1877480586712688
Llama-3-70B-IT,lean_right,Topic,energy,3.1200305810397553
GPT-4.1-mini-IT,lean_left,Topic,russia,3.116117850953206
Qwen2.5-14B-Base,right,Topic,nsa,3.0853110968569593
Llama-3-70B-IT,lean_left,Topic,china,3.0839749759384025
Llama-3-70B-IT,lean_left,Topic,cybersecurity,3.0839749759384025
Qwen1.5-72B-IT,lean_right,Topic,media_industry,3.0643513789581203
Qwen1.5-72B-IT,lean_right,Topic,veterans_affairs,3.0643513789581203
Llama-3.1-70B-Base,left,Topic,impeachment,3.048888888888889
Llama-3.1-70B-Base,left,Topic,supreme_court,3.048888888888889
Llama-3.1-70B-Base,left,Topic,healthcare,3.048888888888889
GPT-4.1-nano-IT,right,Topic,north_korea,3.0430226144511856
Qwen2.5-0.5B-Base,left,Topic,bridging_divides,3.02111801242236
Llama-3.1-8B-IT,right,Topic,veterans_affairs,3.019844693701467
Qwen2.5-3B-Base,lean_left,Topic,us_constitution,3.0048076923076925
Qwen2.5-3B-Base,lean_left,Topic,cia,3.0048076923076925
GPT-4.1-nano-IT,left,Topic,russia,2.997767857142857
Qwen2.5-72B-IT,right,Topic,us_house,2.989698890649762
Llama-3-8B-IT,lean_right,Topic,federal_budget,2.9759725400457664
Qwen2.5-32B-IT,lean_right,Topic,state_department,2.9684482758620687
Phi-4-IT,left,Topic,justice,2.9527027027027026
Mistral-Small-24B-Base,lean_left,Topic,disaster,2.9436893203883496
Qwen2.5-7B-Base,lean_right,Topic,agriculture,2.932551319648094
Qwen2.5-14B-IT,left,Topic,europe,2.9319948186528495
GPT-4.1-nano-IT,right,Topic,great_britain,2.9303180731752163
GPT-4.1-nano-IT,lean_right,Topic,russia,2.924033677765021
Qwen2.5-7B-IT,lean_right,Topic,homeland_security,2.912853163549542
GPT-4.1-mini-IT,left,Topic,nsa,2.8990923651895355
Qwen2.5-14B-IT,lean_left,Topic,campaign_finance,2.8854274835583245
GPT-4.1-IT,lean_left,Topic,russia,2.878250591016548
Llama-3-70B-IT,left,Topic,china,2.8710191082802545
GPT-4.1-nano-IT,lean_left,Topic,fbi,2.869521178637201
Qwen2.5-14B-Base,right,Topic,free_speech,2.8479794740218085
Qwen2.5-14B-Base,right,Topic,trade,2.8479794740218085
Llama-3.1-8B-Base,right,Topic,marijuana_legalization,2.8475382003395584
Llama-3.1-8B-Base,right,Topic,justice_department,2.8475382003395584
Llama-3.3-70B-IT,lean_left,Topic,fiscal_cliff,2.8145336225596527
Llama-3-8B-IT,left,Topic,facts_and_fact_checking,2.8048032703117016
Qwen2-72B-IT,right,Topic,coronavirus,2.8046166529266285
Mistral-Small-24B-IT,left,Topic,civil_rights,2.781227946365561
Llama-3.3-70B-IT,left,Topic,veterans_affairs,2.7664141414141414
Llama-3.1-70B-IT,left,Topic,palestine,2.7491408934707904
Llama-3.1-70B-IT,left,Topic,national_security,2.743069873997709
Qwen1.5-72B-IT,left,Topic,violence_in_america,2.711608222490931
Llama-3.3-70B-IT,right,Topic,healthcare,2.710063897763578
Qwen2.5-14B-IT,lean_left,Topic,nsa,2.7050882658359297
Qwen2.5-7B-Base,right,Topic,tea_party,2.7027027027027026
Qwen2.5-7B-Base,right,Topic,agriculture,2.7027027027027026
Qwen2.5-7B-Base,right,Topic,fda,2.7027027027027026
Llama-3-8B-IT,lean_left,Topic,economic_policy,2.7021172239025586
Mistral-Small-24B-IT,lean_left,Topic,mexico,2.701114488348531
Mistral-Small-24B-IT,lean_right,Topic,elections,2.7008928571428568
Llama-3.1-8B-IT,left,Topic,trade,2.6996466431095407
Qwen2.5-3B-Base,left,Topic,campaign_rhetoric,2.6845637583892614
QwQ-32B-IT,lean_right,Topic,white_house,2.6814159292035398
Qwen2-72B-IT,lean_left,Topic,national_defense,2.6760290556900728
Llama-3-70B-IT,lean_right,Topic,sexual_misconduct,2.6743119266055047
Qwen2.5-32B-IT,lean_right,Topic,campaign_finance,2.6386206896551725
Qwen2.5-14B-IT,left,Topic,marijuana_legalization,2.6062176165803113
Mistral-Small-24B-IT,right,Topic,elections,2.604651162790698
GPT-4.1-mini-IT,lean_left,Topic,palestine,2.5996533795493937
GPT-4.1-mini-IT,lean_left,Topic,facts_and_fact_checking,2.5967648757943382
Mistral-Small-24B-Base,lean_left,Topic,civil_rights,2.5757281553398057
Llama-3.1-70B-IT,lean_left,Topic,us_constitution,2.567394094993581
Llama-3.1-70B-IT,lean_left,Topic,national_security,2.5600586832935996
Qwen2.5-14B-IT,left,Topic,nsa,2.5410621761658034
Mistral-Small-24B-IT,left,Topic,white_house,2.520915971089967
GPT-4.1-nano-IT,lean_right,Topic,trade,2.5063145809414467
Llama-3.3-70B-IT,right,Topic,gun_control_and_gun_rights,2.5015974440894566
Llama-3.1-70B-IT,left,Topic,media_industry,2.493699885452463
Llama-3-70B-IT,left,Topic,tea_party,2.4608735213830757
Llama-3-8B-IT,left,Topic,disaster,2.447828308635667
Qwen2.5-32B-IT,left,Topic,mexico,2.4449285887194385
QwQ-32B-IT,left,Topic,us_senate,2.4144144144144146
QwQ-32B-IT,left,Topic,immigration,2.4144144144144146
Llama-3.3-70B-IT,left,Topic,us_military,2.4143250688705233
Llama-3-8B-IT,lean_left,Topic,voting_rights_and_voter_fraud,2.395058448459086
Llama-3.1-70B-IT,lean_left,Topic,women's_issues,2.3893881044073595
Mistral-Small-24B-IT,left,Topic,mexico,2.383909668313338
GPT-4.1-IT,lean_left,Topic,death_penalty,2.3640661938534278
Qwen2.5-32B-IT,left,Topic,lgbt_rights,2.3337954710503728
Qwen1-72B-IT,right,Topic,immigration,2.315942028985507
Qwen1.5-72B-IT,left,Topic,economy_and_jobs,2.2249093107617894
Llama-3.3-70B-IT,right,Topic,middle_east,2.2236421725239617
Llama-3.1-70B-Base,lean_left,Topic,healthcare,2.2222222222222223
Llama-3.1-70B-Base,lean_left,Topic,supreme_court,2.2222222222222223
Qwen2.5-32B-IT,left,Topic,campaign_rhetoric,2.178649237472767
QwQ-32B-IT,lean_left,Topic,healthcare,2.0625
QwQ-32B-IT,lean_left,Topic,gun_control_and_gun_rights,2.0625
QwQ-32B-IT,lean_left,Topic,family_and_marriage,2.0625
Qwen2-72B-IT,right,Topic,white_house,1.9736191261335532
Qwen1-72B-IT,right,Topic,race_and_racism,1.9217391304347828
Qwen2-72B-IT,right,Topic,healthcare,1.7658697444352847
Mistral-Small-24B-IT,lean_right,Topic,middle_east,1.7410714285714284
Mistral-Small-24B-IT,lean_right,Topic,us_house,1.7410714285714284
Qwen2.5-3B-IT,right,Topic,white_house,1.564245810055866
Qwen2.5-3B-IT,right,Topic,immigration,1.564245810055866
Qwen2.5-3B-IT,right,Topic,violence_in_america,1.3687150837988828
Llama-3-8B-IT,right,Topic,politics,1.3319209039548023
Gemma-2-27B-IT,right,Topic,elections,1.3213595983005022
QwQ-32B-IT,left,Topic,healthcare,1.2072072072072073
Gemma-2-27B-IT,right,Topic,white_house,1.1599073001158748
Mistral-Small-24B-Base,left,Topic,politics,1.1333333333333333
Llama-3-8B-IT,right,Topic,healthcare,1.0720338983050848
Mistral-Small-24B-Base,left,Topic,white_house,1.0426666666666666
Phi-4-IT-HP,right,Topic,N/A,1.0
Phi-4-IT-HP,left,Topic,N/A,1.0
Gemma-2-27B-IT-HP,lean_right,Topic,N/A,1.0
Mistral-Small-24B-IT-HP,lean_left,Topic,N/A,1.0
Phi-4-IT-HP,lean_left,Topic,N/A,1.0
Phi-4-IT-HP,lean_right,Topic,N/A,1.0
Mistral-Small-24B-IT-HP,left,Topic,N/A,1.0
Llama-3.3-70B-IT-HP,left,Topic,N/A,1.0
Llama-3.3-70B-IT-HP,lean_left,Topic,N/A,1.0
Qwen2.5-72B-IT-HP,right,Topic,N/A,1.0
Llama-3.3-70B-IT-HP,lean_right,Topic,N/A,1.0
Qwen2.5-72B-IT-HP,lean_right,Topic,N/A,1.0
Llama-3.3-70B-IT-HP,right,Topic,N/A,1.0
Qwen2.5-72B-IT-HP,lean_left,Topic,N/A,1.0
Mistral-Small-24B-IT-HP,right,Topic,N/A,1.0
Gemma-2-27B-IT-HP,lean_left,Topic,N/A,1.0
Gemma-2-27B-IT-HP,left,Topic,N/A,1.0
Mistral-Small-24B-IT-HP,lean_right,Topic,N/A,1.0
Gemma-2-27B-IT-HP,right,Topic,N/A,1.0
GPT-4.1-IT-HP,right,Topic,N/A,1.0
GPT-4.1-IT-HP,left,Topic,N/A,1.0
GPT-4.1-IT-HP,lean_left,Topic,N/A,1.0
GPT-4.1-IT-HP,lean_right,Topic,N/A,1.0
Qwen2.5-72B-IT-HP,left,Topic,N/A,1.0
QwQ-32B-IT,lean_right,Topic,N/A,0.9841901163368798
QwQ-32B-IT,right,Topic,N/A,0.9690237797246558
