Model,MediaBias,Case,Count
Phi-4-IT-HP,right,confirmation,352
Phi-4-IT-HP,right,neutral,560
Phi-4-IT-HP,right,reversal,150
QwQ-32B-IT,center,neutral,240
QwQ-32B-IT,center,reversal,110
QwQ-32B-IT,lean_left,amplify,80
QwQ-32B-IT,lean_left,confirmation,74
QwQ-32B-IT,lean_left,neutral,165
QwQ-32B-IT,lean_left,reversal,31
QwQ-32B-IT,lean_right,amplify,113
QwQ-32B-IT,lean_right,confirmation,112
QwQ-32B-IT,lean_right,neutral,101
QwQ-32B-IT,lean_right,reversal,24
QwQ-32B-IT,left,amplify,111
QwQ-32B-IT,left,confirmation,69
QwQ-32B-IT,left,neutral,134
QwQ-32B-IT,left,reversal,36
QwQ-32B-IT,right,amplify,188
QwQ-32B-IT,right,confirmation,121
QwQ-32B-IT,right,neutral,38
QwQ-32B-IT,right,reversal,3
Qwen1-72B-IT,center,neutral,3863
Qwen1-72B-IT,center,reversal,637
Qwen1-72B-IT,lean_left,amplify,896
Qwen1-72B-IT,lean_left,confirmation,820
Qwen1-72B-IT,lean_left,neutral,2562
Qwen1-72B-IT,lean_left,reversal,222
Qwen1-72B-IT,lean_right,amplify,821
Qwen1-72B-IT,lean_right,confirmation,3397
Qwen1-72B-IT,lean_right,neutral,264
Qwen1-72B-IT,lean_right,reversal,18
Qwen1-72B-IT,left,amplify,2485
Qwen1-72B-IT,left,confirmation,879
Qwen1-72B-IT,left,neutral,982
Qwen1-72B-IT,left,reversal,154
Qwen1-72B-IT,right,amplify,1035
Qwen1-72B-IT,right,confirmation,3412
Qwen1-72B-IT,right,neutral,51
Qwen1-72B-IT,right,reversal,2
Qwen1.5-72B-IT,center,neutral,3170
Qwen1.5-72B-IT,center,reversal,1330
Qwen1.5-72B-IT,lean_left,amplify,948
Qwen1.5-72B-IT,lean_left,confirmation,2573
Qwen1.5-72B-IT,lean_left,neutral,815
Qwen1.5-72B-IT,lean_left,reversal,164
Qwen1.5-72B-IT,lean_right,amplify,979
Qwen1.5-72B-IT,lean_right,confirmation,916
Qwen1.5-72B-IT,lean_right,neutral,2027
Qwen1.5-72B-IT,lean_right,reversal,578
Qwen1.5-72B-IT,left,amplify,1654
Qwen1.5-72B-IT,left,confirmation,2579
Qwen1.5-72B-IT,left,neutral,115
Qwen1.5-72B-IT,left,reversal,152
Qwen1.5-72B-IT,right,amplify,2194
Qwen1.5-72B-IT,right,confirmation,1242
Qwen1.5-72B-IT,right,neutral,889
Qwen1.5-72B-IT,right,reversal,175
Qwen2-72B-IT,center,neutral,3655
Qwen2-72B-IT,center,reversal,845
Qwen2-72B-IT,lean_left,amplify,826
Qwen2-72B-IT,lean_left,confirmation,659
Qwen2-72B-IT,lean_left,neutral,2763
Qwen2-72B-IT,lean_left,reversal,252
Qwen2-72B-IT,lean_right,amplify,986
Qwen2-72B-IT,lean_right,confirmation,3209
Qwen2-72B-IT,lean_right,neutral,290
Qwen2-72B-IT,lean_right,reversal,15
Qwen2-72B-IT,left,amplify,1141
Qwen2-72B-IT,left,confirmation,656
Qwen2-72B-IT,left,neutral,2451
Qwen2-72B-IT,left,reversal,252
Qwen2-72B-IT,right,amplify,1213
Qwen2-72B-IT,right,confirmation,3215
Qwen2-72B-IT,right,neutral,63
Qwen2-72B-IT,right,reversal,9
Qwen2.5-0.5B-Base,center,neutral,3253
Qwen2.5-0.5B-Base,center,reversal,1247
Qwen2.5-0.5B-Base,lean_left,amplify,1092
Qwen2.5-0.5B-Base,lean_left,confirmation,788
Qwen2.5-0.5B-Base,lean_left,neutral,2454
Qwen2.5-0.5B-Base,lean_left,reversal,166
Qwen2.5-0.5B-Base,lean_right,amplify,139
Qwen2.5-0.5B-Base,lean_right,confirmation,1808
Qwen2.5-0.5B-Base,lean_right,neutral,1446
Qwen2.5-0.5B-Base,lean_right,reversal,1107
Qwen2.5-0.5B-Base,left,amplify,1127
Qwen2.5-0.5B-Base,left,confirmation,823
Qwen2.5-0.5B-Base,left,neutral,2432
Qwen2.5-0.5B-Base,left,reversal,118
Qwen2.5-0.5B-Base,right,amplify,226
Qwen2.5-0.5B-Base,right,confirmation,1654
Qwen2.5-0.5B-Base,right,neutral,1359
Qwen2.5-0.5B-Base,right,reversal,1261
Qwen2.5-0.5B-IT,center,neutral,3011
Qwen2.5-0.5B-IT,center,reversal,1489
Qwen2.5-0.5B-IT,lean_left,amplify,317
Qwen2.5-0.5B-IT,lean_left,confirmation,386
Qwen2.5-0.5B-IT,lean_left,neutral,2478
Qwen2.5-0.5B-IT,lean_left,reversal,1319
Qwen2.5-0.5B-IT,lean_right,amplify,1213
Qwen2.5-0.5B-IT,lean_right,confirmation,2009
Qwen2.5-0.5B-IT,lean_right,neutral,986
Qwen2.5-0.5B-IT,lean_right,reversal,292
Qwen2.5-0.5B-IT,left,amplify,282
Qwen2.5-0.5B-IT,left,confirmation,427
Qwen2.5-0.5B-IT,left,neutral,2557
Qwen2.5-0.5B-IT,left,reversal,1234
Qwen2.5-0.5B-IT,right,amplify,1261
Qwen2.5-0.5B-IT,right,confirmation,2004
Qwen2.5-0.5B-IT,right,neutral,860
Qwen2.5-0.5B-IT,right,reversal,375
Qwen2.5-1.5B-Base,center,neutral,3859
Qwen2.5-1.5B-Base,center,reversal,641
Qwen2.5-1.5B-Base,lean_left,amplify,486
Qwen2.5-1.5B-Base,lean_left,confirmation,140
Qwen2.5-1.5B-Base,lean_left,neutral,3689
Qwen2.5-1.5B-Base,lean_left,reversal,185
Qwen2.5-1.5B-Base,lean_right,amplify,229
Qwen2.5-1.5B-Base,lean_right,confirmation,101
Qwen2.5-1.5B-Base,lean_right,neutral,3812
Qwen2.5-1.5B-Base,lean_right,reversal,358
Qwen2.5-1.5B-Base,left,amplify,512
Qwen2.5-1.5B-Base,left,confirmation,191
Qwen2.5-1.5B-Base,left,neutral,3676
Qwen2.5-1.5B-Base,left,reversal,121
Qwen2.5-1.5B-Base,right,amplify,180
Qwen2.5-1.5B-Base,right,confirmation,103
Qwen2.5-1.5B-Base,right,neutral,3591
Qwen2.5-1.5B-Base,right,reversal,626
Qwen2.5-1.5B-IT,center,neutral,2654
Qwen2.5-1.5B-IT,center,reversal,1846
Qwen2.5-1.5B-IT,lean_left,amplify,1464
Qwen2.5-1.5B-IT,lean_left,confirmation,1562
Qwen2.5-1.5B-IT,lean_left,neutral,1204
Qwen2.5-1.5B-IT,lean_left,reversal,270
Qwen2.5-1.5B-IT,lean_right,amplify,295
Qwen2.5-1.5B-IT,lean_right,confirmation,62
Qwen2.5-1.5B-IT,lean_right,neutral,3026
Qwen2.5-1.5B-IT,lean_right,reversal,1117
Qwen2.5-1.5B-IT,left,amplify,1257
Qwen2.5-1.5B-IT,left,confirmation,1551
Qwen2.5-1.5B-IT,left,neutral,1411
Qwen2.5-1.5B-IT,left,reversal,281
Qwen2.5-1.5B-IT,right,amplify,276
Qwen2.5-1.5B-IT,right,confirmation,36
Qwen2.5-1.5B-IT,right,neutral,2366
Qwen2.5-1.5B-IT,right,reversal,1822
Qwen2.5-14B-Base,center,neutral,3547
Qwen2.5-14B-Base,center,reversal,953
Qwen2.5-14B-Base,lean_left,amplify,823
Qwen2.5-14B-Base,lean_left,confirmation,423
Qwen2.5-14B-Base,lean_left,neutral,3019
Qwen2.5-14B-Base,lean_left,reversal,235
Qwen2.5-14B-Base,lean_right,amplify,546
Qwen2.5-14B-Base,lean_right,confirmation,2324
Qwen2.5-14B-Base,lean_right,neutral,1345
Qwen2.5-14B-Base,lean_right,reversal,285
Qwen2.5-14B-Base,left,amplify,803
Qwen2.5-14B-Base,left,confirmation,377
Qwen2.5-14B-Base,left,neutral,3041
Qwen2.5-14B-Base,left,reversal,279
Qwen2.5-14B-Base,right,amplify,1559
Qwen2.5-14B-Base,right,confirmation,2504
Qwen2.5-14B-Base,right,neutral,370
Qwen2.5-14B-Base,right,reversal,67
Qwen2.5-14B-IT,center,neutral,3710
Qwen2.5-14B-IT,center,reversal,790
Qwen2.5-14B-IT,lean_left,amplify,963
Qwen2.5-14B-IT,lean_left,confirmation,1160
Qwen2.5-14B-IT,lean_left,neutral,2084
Qwen2.5-14B-IT,lean_left,reversal,293
Qwen2.5-14B-IT,lean_right,amplify,687
Qwen2.5-14B-IT,lean_right,confirmation,2128
Qwen2.5-14B-IT,lean_right,neutral,1518
Qwen2.5-14B-IT,lean_right,reversal,167
Qwen2.5-14B-IT,left,amplify,1544
Qwen2.5-14B-IT,left,confirmation,1122
Qwen2.5-14B-IT,left,neutral,1509
Qwen2.5-14B-IT,left,reversal,325
Qwen2.5-14B-IT,right,amplify,1664
Qwen2.5-14B-IT,right,confirmation,2226
Qwen2.5-14B-IT,right,neutral,598
Qwen2.5-14B-IT,right,reversal,12
Qwen2.5-32B-Base,center,neutral,3327
Qwen2.5-32B-Base,center,reversal,1173
Qwen2.5-32B-Base,lean_left,amplify,854
Qwen2.5-32B-Base,lean_left,confirmation,1527
Qwen2.5-32B-Base,lean_left,neutral,1852
Qwen2.5-32B-Base,lean_left,reversal,267
Qwen2.5-32B-Base,lean_right,amplify,122
Qwen2.5-32B-Base,lean_right,confirmation,9
Qwen2.5-32B-Base,lean_right,neutral,1993
Qwen2.5-32B-Base,lean_right,reversal,2376
Qwen2.5-32B-Base,left,amplify,1033
Qwen2.5-32B-Base,left,confirmation,1554
Qwen2.5-32B-Base,left,neutral,1682
Qwen2.5-32B-Base,left,reversal,231
Qwen2.5-32B-Base,right,amplify,1765
Qwen2.5-32B-Base,right,confirmation,140
Qwen2.5-32B-Base,right,neutral,1895
Qwen2.5-32B-Base,right,reversal,700
Qwen2.5-32B-IT,center,neutral,3825
Qwen2.5-32B-IT,center,reversal,675
Qwen2.5-32B-IT,lean_left,amplify,577
Qwen2.5-32B-IT,lean_left,confirmation,497
Qwen2.5-32B-IT,lean_left,neutral,3307
Qwen2.5-32B-IT,lean_left,reversal,119
Qwen2.5-32B-IT,lean_right,amplify,1160
Qwen2.5-32B-IT,lean_right,confirmation,1013
Qwen2.5-32B-IT,lean_right,neutral,1913
Qwen2.5-32B-IT,lean_right,reversal,414
Qwen2.5-32B-IT,left,amplify,1377
Qwen2.5-32B-IT,left,confirmation,491
Qwen2.5-32B-IT,left,neutral,2525
Qwen2.5-32B-IT,left,reversal,107
Qwen2.5-32B-IT,right,amplify,2410
Qwen2.5-32B-IT,right,confirmation,1155
Qwen2.5-32B-IT,right,neutral,899
Qwen2.5-32B-IT,right,reversal,36
Qwen2.5-3B-Base,center,neutral,2142
Qwen2.5-3B-Base,center,reversal,2358
Qwen2.5-3B-Base,lean_left,amplify,1664
Qwen2.5-3B-Base,lean_left,confirmation,303
Qwen2.5-3B-Base,lean_left,neutral,1809
Qwen2.5-3B-Base,lean_left,reversal,724
Qwen2.5-3B-Base,lean_right,amplify,745
Qwen2.5-3B-Base,lean_right,confirmation,730
Qwen2.5-3B-Base,lean_right,neutral,1637
Qwen2.5-3B-Base,lean_right,reversal,1388
Qwen2.5-3B-Base,left,amplify,1490
Qwen2.5-3B-Base,left,confirmation,351
Qwen2.5-3B-Base,left,neutral,2012
Qwen2.5-3B-Base,left,reversal,647
Qwen2.5-3B-Base,right,amplify,1217
Qwen2.5-3B-Base,right,confirmation,719
Qwen2.5-3B-Base,right,neutral,1187
Qwen2.5-3B-Base,right,reversal,1377
Qwen2.5-3B-IT,center,neutral,4242
Qwen2.5-3B-IT,center,reversal,258
Qwen2.5-3B-IT,lean_left,amplify,145
Qwen2.5-3B-IT,lean_left,confirmation,83
Qwen2.5-3B-IT,lean_left,neutral,4176
Qwen2.5-3B-IT,lean_left,reversal,96
Qwen2.5-3B-IT,lean_right,amplify,115
Qwen2.5-3B-IT,lean_right,confirmation,4197
Qwen2.5-3B-IT,lean_right,neutral,99
Qwen2.5-3B-IT,lean_right,reversal,89
Qwen2.5-3B-IT,left,amplify,175
